molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL334890,CC1=CC(C)(C)Nc2ccc(-c3c(C)sc(C#N)c3C)cc21,active,322.33000000000004,4.5850000000000035,2.0,3.0,6.906578314837765
CHEMBL334890,CC1=CC(C)(C)Nc2ccc(-c3c(C)sc(C#N)c3C)cc21,active,359.29200000000003,5.656680000000003,1.0,3.0,6.823908740944319
CHEMBL351447,C[C@]12CCCC[C@H]1Nc1cc3nc(O)cc(C(F)(F)F)c3cc12,active,359.29200000000003,5.656680000000003,1.0,3.0,6.136677139879544
CHEMBL132192,CC1=CC(C)(C)Nc2ccc(-c3sc(C#N)cc3Br)cc21,active,336.357,4.255000000000003,1.0,3.0,7.2839966563652006
CHEMBL132192,CC1=CC(C)(C)Nc2ccc(-c3sc(C#N)cc3Br)cc21,active,334.28200000000004,5.785000000000003,1.0,2.0,6.920818753952375
CHEMBL165803,C[C@H]1CC[C@H]2Nc3cc4c(cc3[C@H]2C1)c(C(F)(F)F)cc(=O)n4C,active,334.28200000000004,5.785000000000003,1.0,2.0,6.42021640338319
CHEMBL538158,CC1=CC(C)(C)Nc2ccc(-c3cc(Br)cs3)cc21,active,332.37800000000004,5.356980000000004,1.0,3.0,6.978810700930062
CHEMBL538158,CC1=CC(C)(C)Nc2ccc(-c3cc(Br)cs3)cc21,active,335.37800000000004,5.032300000000004,1.0,3.0,6.721246399047171
CHEMBL62731,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/C#N)Oc1ccc(F)cc1-3,active,389.5140000000001,7.413700000000006,1.0,2.0,7.187086643357144
CHEMBL65689,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/C=O)Oc1ccc(F)cc1-3,active,429.6040000000001,5.406500000000006,1.0,3.0,6.614393726401688
CHEMBL65227,CC(=O)/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,active,338.42600000000004,5.4137800000000045,1.0,3.0,6.906578314837765
CHEMBL303768,CC1=CC(C)(C)Nc2ccc3c(c21)C(=C(c1ccccc1)c1ccccc1)Oc1ccc(F)cc1-3,active,296.345,4.3875800000000025,1.0,3.0,5.714442690992226
CHEMBL418670,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/C1CCCCC1)Oc1ccc(F)cc1-3,active,350.3150000000001,4.929980000000003,1.0,3.0,6.096910013008056
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,active,271.335,4.515900000000003,1.0,2.0,9.522878745280337
CHEMBL63015,CC/C(C)=C1/Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,active,292.357,4.971780000000004,1.0,2.0,6.008773924307505
CHEMBL28157,N#Cc1cc(F)cc(-c2ccc3c(c2)C2(CCCCC2)C(S)=N3)c1,active,310.37200000000007,4.777680000000004,1.0,3.0,7.798602875679548
CHEMBL717,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,active,358.4160000000001,5.7403800000000045,1.0,3.0,7.966576244513051
CHEMBL324115,O=C1Nc2ccc(-c3cccc(Cl)c3)cc2C12CCCCC2,intermediate,358.4160000000001,5.7403800000000045,1.0,3.0,7.251811972993799
CHEMBL349398,CC1(C)OC(C(C)(C)C)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,active,324.4490000000001,5.234280000000004,1.0,4.0,6.897566294318664
CHEMBL349398,CC1(C)OC(C(C)(C)C)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,intermediate,380.3910000000001,4.793380000000003,0.0,4.0,5.5168407902830205
CHEMBL164695,CC1Nc2ccc(-c3cc(F)cc(C#N)c3)cc2C(C)(C)O1,active,261.752,3.816600000000002,2.0,2.0,8.136677139879543
CHEMBL167570,CC1(C)OC(C(F)(F)F)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,active,452.49800000000016,5.793680000000005,0.0,6.0,8.148741651280925
CHEMBL165148,CC1Nc2ccc(-c3cccc(F)c3)cc2C(C)(C)O1,active,305.78000000000003,5.169300000000004,1.0,2.0,7.638272163982407
CHEMBL117465,CC1=CC(C)(C)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,active,268.316,3.8414800000000024,1.0,4.0,7.431798275933005
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,active,287.79,5.030200000000004,1.0,2.0,9.698970004336019
CHEMBL165612,CC1Nc2ccc(-c3ccc(F)c(C#N)c3)cc2C(C)(C)O1,active,314.46900000000005,4.723500000000005,0.0,2.0,6.779891911959945
CHEMBL164139,CC1Nc2ccc(-c3csc(C#N)c3)cc2C(C)(C)O1,active,386.53200000000027,4.655200000000004,0.0,4.0,7.939302159646388
CHEMBL350745,CC1(C)Nc2ccc(-c3cc(F)cc(C#N)c3)cc2C(C)(C)O1,active,354.3810000000001,3.930780000000003,1.0,5.0,7.376750709602099
CHEMBL167620,CC1(C)OC(c2ccccc2)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,intermediate,354.3810000000001,3.930780000000003,1.0,5.0,7.033389013318065
CHEMBL167620,CC1(C)OC(c2ccccc2)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,active,324.39900000000006,5.023680000000004,1.0,3.0,5.686132779630847
CHEMBL164080,CC1Nc2ccc(-c3csc(C#N)c3)cc2C2(CCCCC2)O1,active,338.47600000000006,5.542700000000004,1.0,4.0,7.920818753952375
CHEMBL423084,CC(=O)N1c2ccc(-c3csc(C#N)c3)cc2C(C)(C)OC1C(F)(F)F,active,301.81700000000006,5.420300000000005,1.0,2.0,5.680477550934546
CHEMBL350283,CC(C)(O)c1cc(-c2cccc(Cl)c2)ccc1N,active,298.411,4.618400000000004,1.0,4.0,6.987162775294828
CHEMBL350283,CC(C)(O)c1cc(-c2cccc(Cl)c2)ccc1N,active,358.41600000000005,5.415980000000004,1.0,3.0,6.521433504406157
CHEMBL351751,CC(C)(C)C(=O)OCN1c2ccc(-c3csc(C#N)c3)cc2C(C)(C)OC1C(F)(F)F,active,338.3540000000001,4.852380000000003,1.0,4.0,8.102372908709558
CHEMBL164908,CC1Nc2ccc(-c3ccc(F)c(Cl)c3)cc2C(C)(C)O1,active,341.76000000000005,5.572600000000003,1.0,2.0,6.67264106561367
CHEMBL167492,CC1Nc2ccc(-c3coc(C#N)c3)cc2C(C)(C)O1,active,364.4450000000001,5.801880000000004,1.0,4.0,6.945386945443112
CHEMBL167928,CC1Nc2ccc(-c3cccc(Cl)c3)cc2C(C)(C)O1,intermediate,364.4450000000001,5.801880000000004,1.0,4.0,8.045757490560675
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,active,284.384,4.309980000000003,1.0,4.0,8.455931955649724
CHEMBL717,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,intermediate,355.27200000000005,4.059100000000004,2.0,3.0,7.966576244513051
CHEMBL165055,CCOC(=O)C1Nc2ccc(-c3cc(F)cc(C#N)c3)cc2C(C)(C)O1,intermediate,355.27200000000005,4.059100000000004,2.0,3.0,6.799149501908922
CHEMBL165055,CCOC(=O)C1Nc2ccc(-c3cc(F)cc(C#N)c3)cc2C(C)(C)O1,active,339.273,5.088300000000005,1.0,2.0,5.746419710437817
CHEMBL163833,CC(C)C1Nc2ccc(-c3cc(F)cc(C#N)c3)cc2C(C)(C)O1,active,339.273,5.088300000000005,1.0,2.0,7.327902142064283
CHEMBL164187,Cc1cc(C#N)sc1-c1ccc2c(c1)C1(CCCCC1)OC(C)N2,active,325.246,4.698200000000004,1.0,2.0,8.537602002101044
CHEMBL165141,CC1(C)Nc2ccc(-c3cccc(Cl)c3)cc2C(C)(C)O1,active,449.6350000000003,5.155700000000006,2.0,4.0,8.0
CHEMBL167405,Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)(C)OC(C)N2,active,449.6350000000003,5.155700000000006,2.0,4.0,8.09151498112135
